Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Jalen Reagor,MIN,23,WR,9,0,1,17,0,1,17,17.0,1.9,2
Wan'Dale Robinson,NYG,21,WR,5,2,1,-5,0,0,-5,-5.0,-1.0,0
Armani Rogers,WAS,25,TE,10,3,1,24,0,1,24,24.0,2.4,0
Rashid Shaheed,NOR,24,WR,5,1,1,44,1,1,44,44.0,8.8,0
Ben Skowronek,LAR,25,WR,9,6,1,17,1,1,17,17.0,1.9,0
Keith Smith,ATL,30,FB,10,3,1,2,0,1,2,2.0,0.2,0
Ihmir Smith-Marsette,CHI,23,WR,6,0,1,-1,0,0,-1,-1.0,-0.2,1
Pierre Strong,NWE,24,RB,7,0,1,5,0,0,5,5.0,0.7,0
Courtland Sutton,DEN,27,WR,9,9,1,5,0,0,5,5.0,0.6,0
Marquez Valdes-Scantling,KAN,28,WR,9,6,1,-3,0,0,-3,-3.0,-0.3,0
Quez Watkins,PHI,24,WR,9,3,1,-3,0,0,-3,-3.0,-0.3,1
Kyren Williams,LAR,22,RB,2,0,1,9,0,0,9,9.0,4.5,0
Cedrick Wilson Jr.,MIA,27,WR,9,0,1,8,0,0,8,8.0,0.9,0
Olamide Zaccheaus,ATL,25,WR,10,7,1,-6,0,0,-6,-6.0,-0.6,1
